source_id,category,store_name,main_menu,price,road_address,district,latitude,longitude,image_url_1,image_url_2,image_url_3
35,KOREAN,육미,-,,서울특별시 종로구 종로9길 18 (인사동) 1층,종로구,37.5710165518871,126.984539905226,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/8cd60dac-1c3e-44d9-b0b6-9e66fcf44ce7.jpg,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/3585b416-80a6-4ebd-9a2f-f3fad7b97748.jpg,
36,KOREAN,을밀대 (소문난국밥전문),우거지해장국,3000.0,서울특별시 종로구 수표로 131 (낙원동) 1층,종로구,37.5724935312538,126.988259663514,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/58f37df2-aa86-4f8a-9f2a-c7e31fb26ca6.jpg,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/c1512829-7a4f-446a-91d6-004742178888.jpg,
37,KOREAN,이모네감자탕,뼈해장국,9000.0,서울특별시 종로구 새문안로9길 29-3 (당주동) 1층,종로구,37.5712732816389,126.975233336141,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/c595109b-c0fc-4156-909e-a76acd07ddf0.jpg,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/144590be-42f9-4e96-afac-8e26e0cf6947.jpg,
38,KOREAN,인사동보리밥,제육보리밥정식,14900.0,서울특별시 종로구 인사동7길 37 (관훈동) 지하1층,종로구,37.5726406166543,126.984701444611,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/3748e94f-cc07-45ea-806c-01f6a80f9ec9.jpg,,
39,KOREAN,인사동칼국수,칼국수,7500.0,서울특별시 종로구 인사동5길 25 1층,종로구,37.5720973140597,126.985392406484,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/f456f57c-a846-414e-a07b-364a626ce918.png,,
40,KOREAN,장원식당,우거지뼈해장국,9000.0,서울특별시 종로구 창신5나길 3 (창신동) 1층,종로구,37.5737764224116,127.011178154865,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/eaa8c51e-52ec-4f19-b78b-9d5cfe08f685.jpg,,
41,KOREAN,전주콩나물국밥,콩나물국밥,7000.0,서울특별시 종로구 자하문로 3 (내자동),종로구,37.5764830744797,126.972264842484,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/555b075b-8e6e-44a6-b00f-5f720d7a75a2.jpg,,
42,KOREAN,종가대박집,암퇘지삼겹살(170g),15000.0,서울특별시 종로구 종로 307 (창신동) 1층,종로구,37.5722159232795,127.011854397226,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/b1286baf-6488-4f6f-a763-f8adc5234861.jpeg,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/3f7f12b3-8b71-45df-b51a-5cf38e4a6e68.jpeg,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/1f7d0401-fb0b-4da2-bdd1-4e96a4d51a46.jpeg
43,CHINESE,중국,짜장면,6000.0,서울특별시 종로구 자하문로33길 2 (청운동) 1층,종로구,37.5861940804564,126.969723642462,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/f0aa76c3-b1e2-401f-a5cc-734fbb6f61e7.jpg,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/f017fd1d-b777-4265-90e4-b968fcc79576.jpg,
44,KOREAN,진미김밥,유부김밥,4000.0,서울특별시 종로구 종로46길 28 (창신동) 1층,종로구,37.5704709419319,127.010179837332,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/e6321381-59de-41cc-bc8a-672a2e1ae6ad.jpg,,
